fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,18,MAHARASHTRA,1813,SOLAPUR,133828,0,0,0,0,10,972,23600,0,0,14154,0,2213,0,23.5745,0,0,86720,196950,0,572641,1001065,23610,23.5745,0,97,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,1753048,0,0,0,0,30,846,73853,0,0,26545,0,12533,0,10.72146,0,0,238541,636332,0,696350,1482938,73883,10.72146,0,94,0,0,0,NA
2025-2026,April,18,MAHARASHTRA,1816,JALNA,557645,0,0,0,0,68,706,52726,0,0,20342,0,3143,94.93496,127.15423,0,0,174266,457004,0,502837,1117265,52794,32.21927,0,80,73.1,0,0,NA
2025-2026,April,18,MAHARASHTRA,1821,LATUR,704928,0,0,0,0,23,692,30813,0,0,53058,0,4307,0,26.53191,0,0,134609,335586,0,408888,861786,30836,26.53191,0,86,30.63,0,0,NA
2025-2026,April,18,MAHARASHTRA,1830,GADCHIROLI,552956,0,0,0,0,257,424,21097,0,0,38657,0,164030,0,10.2335332,0,0,132300,384498,0,237640,607292,21354,10.2335332,0,81,100,0,0,NA
2025-2026,April,18,MAHARASHTRA,1834,HINGOLI,357916,0,0,0,0,0,535,21657,0,0,43612,0,42391,0,7.40415,0,0,94551,241932,0,269180,607333,21657,7.40415,0,90,8.97,0,0,NA
2025-2026,April,18,MAHARASHTRA,1822,BULDHANA,140573,4073.64016172507,7,0,0,275,696,30225,1484,188,33281,18,7465,0,60.45282,198,252,128316,311801,0,493907,1030031,30500,60.45282,430,94,8.7,0,100,NA
2025-2026,April,18,MAHARASHTRA,1830,GADCHIROLI,552956,254.071520365069,11,54,0,492,337,21377,35281,2019,38689,12800,164191,35.49352,125.1324931,2953,5218,132494,384964,0,238261,608400,21869,89.6389731,16651,82,12.47,0,100,NA
2025-2026,April,18,MAHARASHTRA,1807,DHULE,247317,287.189301362926,10,46,0,115,178,28798,136251,5525,16887,24580,77538,0,391.298295,12513,20714,102818,289336,0,475807,989268,28913,391.298295,58751,91,55.11,54.65,100,NA
2025-2026,April,18,MAHARASHTRA,1811,SATARA,95626,304.440678298078,10,37,0.89686,99,1175,15238,33186,1484,9903,152,883,0,101.9285435,3062,4956,65408,147967,0,418442,795890,15337,101.0316835,15669,87,23.45,23.27,100,NA
